Doctor ID, Username, Password,First Name,Last Name
-2012883246,         joshhartnett,password,Josh,Hartnett
-805114039,         sallyfish,password,Sally,Fisher
517240072,         abisharp,password,Abigail,Sharp
-925020892,         evan,password,Evan,Barry
-928143024,         fp,password,Faith,Porter
909424519,         dombarr,password,Dom,Barry
-924809391,         lydb,password,Lydia,Bowles
331094400,         hugocam,password,Hugo,Camacho
-924813243,         lucy,password,Lucinda,Milne
-924802033,         maxm,password,Max,Mallen
-828922863,         grantold,password,Grant,Thorold
-2043179758,         Enter Email,Enter Password,Test,Doctor
